Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2021-03-09,87.15,87.7,84.15,85.2,85.92,697361.0,1726.0,59919023.0,147687.0,21.18,3.55,-1.95
2021-03-08,89.6,89.6,85.9,86.25,87.24,1031163.0,2091.0,89962348.0,170742.0,16.56,3.7,-3.35
2021-03-05,90.0,91.0,85.4,87.3,88.35,1846821.0,3981.0,163162442.0,214674.0,11.62,5.6,-2.7
2021-03-04,87.0,92.4,85.9,90.65,89.51,3752712.0,6928.0,335905026.0,1630841.0,43.46,6.5,3.65
2021-03-03,83.4,88.45,83.4,88.05,85.93,2204539.0,4215.0,189438306.0,1096844.0,49.75,5.05,4.65
2021-03-02,83.35,84.75,82.15,83.25,83.4,1301568.0,4189.0,108553536.0,411579.0,31.62,2.6,-0.1
2021-03-01,84.45,84.75,82.5,83.05,83.54,955369.0,4272.0,79812313.0,329830.0,34.52,2.25,-1.4
2021-02-26,85.4,85.4,82.1,83.6,83.83,1353212.0,3176.0,113434257.0,261012.0,19.29,3.3,-1.8
2021-02-25,87.0,88.05,85.6,86.25,86.75,2369238.0,4875.0,205534510.0,1050049.0,44.32,2.45,-0.75
2021-02-24,82.45,85.0,78.9,84.6,82.68,3648290.0,18996.0,301650048.0,1953014.0,53.53,6.1,2.15
2021-02-23,80.65,82.25,80.0,81.3,81.45,898865.0,1846.0,73209129.0,117135.0,13.03,2.25,0.65
2021-02-22,84.2,84.2,79.5,79.95,81.22,1094705.0,2989.0,88906583.0,250307.0,22.87,4.7,-4.25
2021-02-19,86.55,87.4,82.7,83.4,84.96,874189.0,2070.0,74270842.0,226006.0,25.85,4.7,-3.15
2021-02-18,87.5,87.5,85.6,86.75,86.42,669490.0,1801.0,57855542.0,118754.0,17.74,1.9,-0.75
2021-02-17,85.5,88.15,84.05,86.7,87.01,1983432.0,6013.0,172578639.0,836329.0,42.17,4.1,1.2
2021-02-16,86.0,87.25,84.2,85.45,85.66,1363584.0,2467.0,116803114.0,220181.0,16.15,3.05,-0.55
2021-02-15,83.5,85.7,83.5,85.15,84.96,1186897.0,2165.0,100841893.0,222390.0,18.74,2.2,1.65
2021-02-12,83.9,84.15,82.8,83.1,83.44,873617.0,2968.0,72898678.0,247177.0,28.29,1.35,-0.8
2021-02-11,83.0,84.0,82.4,83.45,83.23,672488.0,1328.0,55969646.0,126260.0,18.78,1.6,0.45
2021-02-10,83.4,83.7,81.8,82.85,82.59,988757.0,2023.0,81663338.0,264905.0,26.79,1.9,-0.55
2021-02-09,83.0,85.45,82.1,82.95,83.91,1322390.0,2415.0,110963467.0,144643.0,10.94,3.35,-0.05
2021-02-08,83.25,84.9,82.4,82.85,83.45,1014590.0,2065.0,84669071.0,360039.0,35.49,2.5,-0.4
2021-02-05,85.65,87.25,82.85,83.15,84.99,1947537.0,4169.0,165525305.0,232182.0,11.92,4.4,-2.5
2021-02-04,81.55,85.8,80.5,85.5,84.03,1785619.0,4089.0,150046858.0,430617.0,24.12,5.3,3.95
2021-02-03,80.9,82.2,79.2,81.6,81.11,2280066.0,7459.0,184941233.0,980779.0,43.02,3.0,0.7
2021-02-02,77.95,81.75,77.75,80.25,79.75,4362260.0,12913.0,347873223.0,1849613.0,42.4,4.0,2.3
2021-02-01,73.0,77.4,71.75,77.2,75.21,4045692.0,10727.0,304275355.0,1820559.0,45.0,5.65,4.2
2021-01-29,72.35,74.55,71.9,72.4,73.52,2849071.0,6040.0,209451592.0,560472.0,19.67,2.65,0.05
2021-01-28,69.2,72.45,69.0,71.7,71.38,1676564.0,3602.0,119666693.0,248926.0,14.85,3.45,2.5
2021-01-27,71.2,71.8,69.45,69.8,70.57,1495052.0,3311.0,105498674.0,234817.0,15.71,2.35,-1.4
2021-01-25,73.6,74.75,70.8,71.2,72.3,2215675.0,3573.0,160194773.0,224928.0,10.15,3.95,-2.4
2021-01-22,76.8,77.0,72.95,73.3,74.55,2070315.0,4429.0,154345718.0,423220.0,20.44,4.05,-3.5
2021-01-21,78.7,78.8,75.25,76.15,77.59,3456596.0,10536.0,268199003.0,1211731.0,35.06,3.55,-2.55
2021-01-20,76.0,77.95,74.6,77.3,76.29,4426826.0,12185.0,337742461.0,1562975.0,35.31,3.35,1.3
2021-01-19,72.0,75.55,72.0,75.4,74.12,2072745.0,5706.0,153621503.0,809383.0,39.05,3.55,3.4
